epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,302.225,0.61648,0.96448,0.99933,0.11538,0.000159949,0.000159949,0.0801663
2,594.011,0.17758,0.98903,0.99983,0.03545,0.000263113,0.000263113,0.0602695
3,875.871,0.10477,0.99271,0.99994,0.02195,0.000309433,0.000309433,0.0403158
4,1157.7,0.07722,0.99677,0.99994,0.01081,0.000298907,0.000298907,0.0203053
5,1435.86,0.04658,0.99761,0.99989,0.00831,0.000231537,0.000231537,0.000237882
